10 Speakers	{"count": 214}
City:Eustis	{"count": 14}
City:Evans	{"count": 4}
City:Evansville	{"count": 5}
City:Farmville	{"count": 6}
City:Fayetteville	{"count": 39}
City:Feasterville	{"count": 10}
City:Fernandina Beach	{"count": 5}
City:Fitzgerald	{"count": 7}
City:Florence	{"count": 22}
City:Forest	{"count": 3}
City:Fort Lauderdale	{"count": 25}
City:Fort Mill	{"count": 11}
City:Fort Myers	{"count": 20}
City:Frankford	{"count": 7}
City:Franklin	{"count": 8}
City:Fremont	{"count": 13}
City:Frisco	{"count": 13}
City:Fuquay-Varina	{"count": 5}
City:Gainesville	{"count": 141}
City:Gardendale	{"count": 4}
City:Garner	{"count": 15}
City:Georgetown	{"count": 8}
City:Glenside	{"count": 8}
City:Goldsboro	{"count": 11}
City:Graham	{"count": 7}
City:Greensboro	{"count": 18}
City:Greenville	{"count": 44}
City:Greenwood	{"count": 6}
City:Gretna	{"count": 14}
City:Griffin	{"count": 8}
City:Gulfport	{"count": 14}
City:Guyton	{"count": 7}
City:Hackensack	{"count": 13}
City:Haines City	{"count": 8}
City:Hamilton	{"count": 10}
City:Hampton	{"count": 18}
City:Harrisburg	{"count": 11}
City:Henderson	{"count": 12}
City:Hendersonville	{"count": 4}
City:Hephzibah	{"count": 22}
City:Hickory	{"count": 59}
City:High Point	{"count": 52}
City:High Springs	{"count": 13}
City:Hillsborough	{"count": 27}
City:Hinesville	{"count": 11}
City:Holcomb	{"count": 9}
City:Holly Springs	{"count": 9}
City:Hollywood	{"count": 19}
City:Homosassa	{"count": 4}
City:Hope Mills	{"count": 8}
City:Hopewell	{"count": 4}
City:Hoschton	{"count": 16}
City:Houston	{"count": 4}
City:Hudson	{"count": 10}
City:Hull	{"count": 10}
City:Humble	{"count": 26}
City:Humboldt	{"count": 10}
City:Huntsville	{"count": 36}
City:Indian Trail	{"count": 2}
City:Interlachen	{"count": 3}
City:Inverness	{"count": 18}
City:Irmo	{"count": 39}
City:Jackson	{"count": 38}
City:Jacksonville	{"count": 135}
City:Jacksonville Beach	{"count": 12}
City:Jasper	{"count": 39}
City:Jesup	{"count": 19}
City:Johnson City	{"count": 8}
City:Joice	{"count": 22}
City:Jonesborough	{"count": 6}
City:Kannapolis	{"count": 9}
City:Kenner	{"count": 13}
City:Keswick	{"count": 12}
City:Kill Devil Hills	{"count": 21}
City:Kingsport	{"count": 10}
City:Kingston	{"count": 8}
City:Kintnersville	{"count": 2}
City:Kissimmee	{"count": 26}
City:Knoxville	{"count": 53}
City:La Grange	{"count": 14}
City:LaFayette	{"count": 5}
City:Ladson	{"count": 10}
City:Lady Lake	{"count": 7}
City:Lajeado	{"count": 25}
City:Lake Hiawatha	{"count": 4}
City:Lake Mary	{"count": 36}
City:Lakeland	{"count": 56}
City:Landrum	{"count": 8}
City:Lansdale	{"count": 19}
City:Lansing	{"count": 2}
City:Largo	{"count": 75}
City:Laurinburg	{"count": 2}
City:Lawrenceville	{"count": 83}
City:Lebanon	{"count": 14}
City:Lehigh Acres	{"count": 75}
City:Lenoir City	{"count": 14}
City:Lexington	{"count": 23}
City:Lillington	{"count": 13}
City:Lincolnton	{"count": 15}
City:Live Oak	{"count": 32}
City:Loganville	{"count": 13}
City:London	{"count": 7}
City:Longs	{"count": 7}
City:Longwood	{"count": 22}
City:Loretto	{"count": 25}
City:Loris	{"count": 4}
City:Los Angeles	{"count": 9}
City:Louisville	{"count": 28}
City:Macon	{"count": 8}
City:Madison	{"count": 24}
City:Madison Heights	{"count": 11}
City:Magee	{"count": 6}
City:Maiden	{"count": 4}
City:Maitland	{"count": 9}
City:Manassas	{"count": 26}
City:Maple Valley	{"count": 7}
City:Marietta	{"count": 32}
City:Martinsville	{"count": 33}
City:Mary Esther	{"count": 19}
City:McBee	{"count": 25}
City:McDonough	{"count": 70}
City:Mebane	{"count": 12}
City:Mechanicsville	{"count": 7}
City:Melbourne	{"count": 59}
City:Memphis	{"count": 23}
City:Merritt Island	{"count": 12}
City:Miami	{"count": 135}
City:Middle Haddam	{"count": 13}
City:Milwaukee	{"count": 7}
City:Mobile	{"count": 8}
City:Montgomery	{"count": 16}
City:Moody	{"count": 23}
City:Mooresville	{"count": 25}
City:Morehead City	{"count": 2}
City:Moscow	{"count": 2}
City:Moultrie	{"count": 9}
City:Mount Airy	{"count": 13}
City:Mount Holly	{"count": 13}
City:Mount Juliet	{"count": 17}
City:Mountain View	{"count": 2}
City:Mt. Dora	{"count": 13}
City:Mt. Pleasant	{"count": 7}
City:Munster	{"count": 4}
City:Murfreesboro	{"count": 25}
City:Myakka City	{"count": 11}
City:Myrtle Beach	{"count": 36}
City:Narberth	{"count": 4}
City:Nashville	{"count": 96}
City:Natchitoches	{"count": 23}
City:Needham Heights	{"count": 2}
City:New Orleans	{"count": 4}
City:New Port Richey	{"count": 11}
City:Newberry	{"count": 5}
City:Norcross	{"count": 6}
City:Norfolk	{"count": 16}
City:Norristown	{"count": 10}
City:North Augusta	{"count": 47}
City:North Charleston	{"count": 16}
City:North Myrtle Beach	{"count": 5}
City:North Olmsted	{"count": 30}
City:North Port	{"count": 10}
City:North Vernon	{"count": 4}
City:North Wilkesboro	{"count": 4}
City:Notasulga	{"count": 11}
City:Novi	{"count": 4}
City:Nutley	{"count": 6}
City:Oakland	{"count": 18}
City:Ocala	{"count": 106}
City:Ocean Springs	{"count": 9}
City:Ocilla	{"count": 5}
City:Ocoee	{"count": 7}
City:Odum	{"count": 17}
City:Oldsmar	{"count": 25}
City:Opelika	{"count": 44}
City:Orange Park	{"count": 15}
City:Orlando	{"count": 215}
City:Ormond Beach	{"count": 52}
City:Oviedo	{"count": 3}
City:Paducah	{"count": 9}
City:Palm Bay	{"count": 5}
City:Palmetto	{"count": 16}
City:Panama City	{"count": 35}
City:Panama City Beach	{"count": 1}
City:Parkersburg	{"count": 7}
City:Pasadena	{"count": 4}
City:Pearl	{"count": 11}
City:Pensacola	{"count": 94}
City:Peoria	{"count": 4}
City:Perry	{"count": 14}
City:Pewaukee	{"count": 15}
City:Pfafftown	{"count": 7}
City:Philadelphia	{"count": 39}
City:Phoenix	{"count": 4}
City:Pierceton	{"count": 32}
City:Pinellas Park	{"count": 5}
City:Pinnacle	{"count": 42}
City:Pinson	{"count": 11}
City:Pittsboro	{"count": 5}
City:Pittsburgh	{"count": 30}
City:Plainville	{"count": 14}
City:Plant City	{"count": 4}
City:Plymouth	{"count": 19}
City:Pompano Beach	{"count": 18}
City:Pooler	{"count": 4}
City:Port Richey	{"count": 8}
City:Porter	{"count": 13}
City:Prophetstown	{"count": 22}
City:Providence	{"count": 10}
City:Racine	{"count": 6}
City:Radcliff	{"count": 9}
City:Raleigh	{"count": 242}
City:Randolph Township	{"count": 52}
City:Rincon	{"count": 15}
City:Riverview	{"count": 15}
City:Roanoke Rapids	{"count": 4}
City:Roberta	{"count": 7}
City:Rock Hill	{"count": 26}
City:Rock Island	{"count": 32}
City:Rockingham	{"count": 4}
City:Rome	{"count": 9}
City:Roseland	{"count": 11}
City:Roselle	{"count": 7}
City:Roselle Park	{"count": 9}
City:Rossville	{"count": 1}
City:Roswell	{"count": 64}
City:Rotonda	{"count": 20}
City:Round O	{"count": 6}
City:Saint Leo	{"count": 14}
City:Saint Paul	{"count": 27}
City:Salem	{"count": 6}
City:Salisbury	{"count": 44}
City:San Francisco	{"count": 20}
City:Sanford	{"count": 64}
City:Santee	{"count": 16}
City:Saraland	{"count": 9}
City:Sarasota	{"count": 65}
City:Savannah	{"count": 6}
City:Schaumburg	{"count": 2}
City:Scottsburg	{"count": 9}
City:Searcy	{"count": 8}
City:Sebastian	{"count": 5}
City:Seffner	{"count": 11}
City:Sellersburg	{"count": 10}
City:Seminole	{"count": 15}
City:Sevierville	{"count": 6}
City:Seymour	{"count": 5}
City:Simpsonville	{"count": 7}
City:Smiths	{"count": 5}
City:Smyrna	{"count": 6}
City:Snellville	{"count": 20}
City:South Burlington	{"count": 2}
City:Southern Pines	{"count": 8}
City:Southfield	{"count": 6}
City:Spartanburg	{"count": 44}
City:Spring	{"count": 30}
City:Spring Hill	{"count": 56}
City:Springfield	{"count": 24}
City:Springville	{"count": 22}
City:St Louis	{"count": 18}
City:St. Augustine	{"count": 24}
City:St. Petersburg	{"count": 47}
City:Stamford	{"count": 7}
City:Starkville	{"count": 7}
City:Sterling	{"count": 2}
City:Stockbridge	{"count": 27}
City:Stone Mountain	{"count": 145}
City:Sublette	{"count": 7}
City:Sugar Land	{"count": 14}
City:Summerfield	{"count": 6}
City:Summerville	{"count": 23}
City:Sumter	{"count": 8}
City:Swansboro	{"count": 3}
City:Sylvania	{"count": 8}
City:Tacoma	{"count": 10}
City:Tallahassee	{"count": 92}
City:Tallassee	{"count": 14}
City:Tampa	{"count": 173}
City:Temple	{"count": 18}
City:Texarkana	{"count": 34}
City:Thomaston	{"count": 24}
City:Thomson	{"count": 9}
City:Thonotosassa	{"count": 7}
City:Titusville	{"count": 17}
City:Toms River	{"count": 24}
City:Tulsa	{"count": 9}
City:Umatilla	{"count": 3}
City:Utica	{"count": 19}
City:Valdosta	{"count": 24}
City:Veneta	{"count": 2}
City:Vero Beach	{"count": 10}
City:Vidalia	{"count": 11}
City:Villa Rica	{"count": 7}
City:Wahiawa	{"count": 39}
City:Wake Forest	{"count": 42}
City:Walkertown	{"count": 19}
City:Walterboro	{"count": 12}
City:Warner Robins	{"count": 75}
City:Warren	{"count": 7}
City:Warrenton	{"count": 5}
City:Warwick	{"count": 4}
City:Washington	{"count": 33}
City:Wasilla	{"count": 1}
City:Watkinsville	{"count": 54}
City:Waukee	{"count": 6}
City:Waukesha	{"count": 6}
City:Waxhaw	{"count": 58}
City:Waycross	{"count": 250}
City:Waynesville	{"count": 15}
City:Weaverville	{"count": 40}
City:Wendell	{"count": 5}
City:Wesley Chapel	{"count": 11}
City:West Columbia	{"count": 6}
City:West Olive	{"count": 6}
City:West Palm Beach	{"count": 49}
City:Westbrook	{"count": 12}
City:Wilkesboro	{"count": 3}
City:Wilmington	{"count": 15}
City:Wingate	{"count": 5}
City:Winston-Salem	{"count": 140}
City:Winter Haven	{"count": 4}
City:Woodstock	{"count": 17}
City:York	{"count": 10}
City:Zephyrhills	{"count": 46}
City:null	{"count": 970}
Clock	{"count": 2137}
Cloth Door Trim	{"count": 41}
Cloth Seats	{"count": 569}
Cloth Upholstery	{"count": 1207}
Club Cab	{"count": 12}
Color Coded Mirrors	{"count": 2056}
Compact Spare Tire	{"count": 532}
Compass	{"count": 1101}
ConnectedDrive	{"count": 9}
Console	{"count": 1082}
Convenience Package	{"count": 9}
Cooled Seats	{"count": 87}
Cornering Brake Control	{"count": 30}
Crash Sensors	{"count": 589}
Cross Traffic Alert	{"count": 30}
Cruise Control	{"count": 5224}
Cup Holder	{"count": 2401}
Custom Bumper	{"count": 28}
Custom Paint	{"count": 13}
Cutaway Van	{"count": 40}
DVD	{"count": 365}
Daytime Running Lights	{"count": 2123}
Delay-Off Headlights	{"count": 337}
Delayed Accessory Power	{"count": 56}
Digital Info Center	{"count": 1100}
Door Bin	{"count": 244}
Door Pockets	{"count": 1082}
Door Unlock Impact Sensor	{"count": 28}
Double Cab	{"count": 153}
Double Wishbone Front Suspension	{"count": 14}
Double Wishbone Suspension	{"count": 9}
Downhill-Assist Control	{"count": 18}
Driver Adjustable Lumbar	{"count": 621}
Driver Foot Rest	{"count": 47}
Driver Seat Mounted Armrest	{"count": 7}
Dual Airbags	{"count": 400}
Dual Exhaust	{"count": 535}
Dual Rear Wheel	{"count": 5}
Dual Side View Mirrors	{"count": 93}
Dual Sun/Moonroof	{"count": 49}
Dual-Stage Front Airbags	{"count": 1115}
Dual-Zone Climate Control	{"count": 1357}
Dual-zone Climate Control	{"count": 283}
EcoBoost	{"count": 101}
Electric Parking Brake	{"count": 9}
Electroluminescent Instrumentation	{"count": 2}
Electronic Brake Force Distribution	{"count": 1049}
Electronic Messaging Assistance	{"count": 9}
Emergency Communication System	{"count": 51}
Emergency Trunk Release	{"count": 979}
Energy Absorbing Steering Column	{"count": 658}
Engine Immobilizer	{"count": 1492}
EventSubtype:alternative	{"count": 1287}
EventSubtype:badge detail	{"count": 2594}
EventSubtype:badges	{"count": 2796}
EventSubtype:contact banner	{"count": 12}
EventSubtype:contact button	{"count": 17}
EventSubtype:contact form	{"count": 715}
EventSubtype:dealer phone	{"count": 1}
EventSubtype:features	{"count": 2275}
EventSubtype:get directions	{"count": 110}
EventSubtype:market report	{"count": 1353}
EventSubtype:photo modal	{"count": 222}
EventSubtype:vehicle history	{"count": 66}
EventTime:2017-09-25 00:05:36.000000	{"count": 2}
EventTime:2017-09-25 00:05:42.000000	{"count": 1}
EventTime:2017-09-25 00:06:04.000000	{"count": 1}
EventTime:2017-09-25 00:06:05.000000	{"count": 2}
EventTime:2017-09-25 00:06:12.000000	{"count": 1}
EventTime:2017-09-25 00:06:56.000000	{"count": 1}
EventTime:2017-09-25 00:09:13.000000	{"count": 2}
EventTime:2017-09-25 00:09:21.000000	{"count": 1}
EventTime:2017-09-25 00:09:23.000000	{"count": 1}
EventTime:2017-09-25 00:09:35.000000	{"count": 1}
EventTime:2017-09-25 00:10:18.000000	{"count": 2}
EventTime:2017-09-25 00:10:20.000000	{"count": 1}
EventTime:2017-09-25 00:10:33.000000	{"count": 1}
EventTime:2017-09-25 00:10:34.000000	{"count": 1}
EventTime:2017-09-25 00:10:36.000000	{"count": 2}
EventTime:2017-09-25 00:10:38.000000	{"count": 2}
EventTime:2017-09-25 00:10:39.000000	{"count": 1}
EventTime:2017-09-25 00:10:40.000000	{"count": 1}
EventTime:2017-09-25 00:10:43.000000	{"count": 1}
EventTime:2017-09-25 00:10:52.000000	{"count": 1}
EventTime:2017-09-25 00:10:53.000000	{"count": 1}
EventTime:2017-09-25 00:11:07.000000	{"count": 1}
EventTime:2017-09-25 00:11:08.000000	{"count": 1}
EventTime:2017-09-25 00:11:09.000000	{"count": 2}
EventTime:2017-09-25 00:11:11.000000	{"count": 1}
EventTime:2017-09-25 00:11:22.000000	{"count": 1}
EventTime:2017-09-25 00:22:42.000000	{"count": 2}
EventTime:2017-09-25 00:22:46.000000	{"count": 1}
EventTime:2017-09-25 00:23:02.000000	{"count": 1}
EventTime:2017-09-25 00:23:03.000000	{"count": 1}
EventTime:2017-09-25 00:23:04.000000	{"count": 1}
EventTime:2017-09-25 00:23:05.000000	{"count": 2}
EventTime:2017-09-25 00:28:23.000000	{"count": 2}
EventTime:2017-09-25 00:28:26.000000	{"count": 1}
EventTime:2017-09-25 00:28:37.000000	{"count": 1}
EventTime:2017-09-25 00:28:39.000000	{"count": 1}
EventTime:2017-09-25 00:28:43.000000	{"count": 1}
EventTime:2017-09-25 00:29:03.000000	{"count": 2}
EventTime:2017-09-25 00:29:04.000000	{"count": 1}
EventTime:2017-09-25 00:40:42.000000	{"count": 2}
EventTime:2017-09-25 00:40:56.000000	{"count": 1}
EventTime:2017-09-25 00:41:21.000000	{"count": 2}
EventTime:2017-09-25 00:41:22.000000	{"count": 1}
EventTime:2017-09-25 00:41:42.000000	{"count": 1}
EventTime:2017-09-25 00:41:45.000000	{"count": 1}
EventTime:2017-09-25 00:41:46.000000	{"count": 1}
EventTime:2017-09-25 00:41:47.000000	{"count": 1}
EventTime:2017-09-25 00:42:04.000000	{"count": 1}
EventTime:2017-09-25 00:42:24.000000	{"count": 1}
EventTime:2017-09-25 00:42:51.000000	{"count": 1}
EventTime:2017-09-25 00:43:04.000000	{"count": 1}
EventTime:2017-09-25 00:43:12.000000	{"count": 1}
EventTime:2017-09-25 00:43:13.000000	{"count": 1}
EventTime:2017-09-25 00:43:19.000000	{"count": 1}
EventTime:2017-09-25 00:50:21.000000	{"count": 1}
EventTime:2017-09-25 01:24:09.000000	{"count": 1}
EventTime:2017-09-25 01:24:10.000000	{"count": 1}
EventTime:2017-09-25 01:24:17.000000	{"count": 1}
EventTime:2017-09-25 01:24:30.000000	{"count": 1}
EventTime:2017-09-25 01:24:32.000000	{"count": 1}
EventTime:2017-09-25 01:24:42.000000	{"count": 2}
EventTime:2017-09-25 01:24:54.000000	{"count": 1}
EventTime:2017-09-25 01:25:05.000000	{"count": 1}
EventTime:2017-09-25 01:25:12.000000	{"count": 1}
EventTime:2017-09-25 01:25:19.000000	{"count": 1}
EventTime:2017-09-25 01:25:47.000000	{"count": 2}
EventTime:2017-09-25 01:26:08.000000	{"count": 1}
EventTime:2017-09-25 01:27:02.000000	{"count": 1}
EventTime:2017-09-25 01:27:08.000000	{"count": 1}
EventTime:2017-09-25 01:27:12.000000	{"count": 1}
EventTime:2017-09-25 01:27:21.000000	{"count": 1}
EventTime:2017-09-25 01:27:26.000000	{"count": 1}
EventTime:2017-09-25 01:27:27.000000	{"count": 1}
EventTime:2017-09-25 01:27:32.000000	{"count": 1}
EventTime:2017-09-25 01:27:40.000000	{"count": 1}
EventTime:2017-09-25 01:27:41.000000	{"count": 1}
EventTime:2017-09-25 01:27:44.000000	{"count": 1}
EventTime:2017-09-25 01:29:52.000000	{"count": 1}
EventTime:2017-09-25 01:29:55.000000	{"count": 2}
EventTime:2017-09-25 01:29:57.000000	{"count": 1}
EventTime:2017-09-25 01:37:13.000000	{"count": 1}
EventTime:2017-09-25 01:37:15.000000	{"count": 1}
EventTime:2017-09-25 02:19:31.000000	{"count": 2}
EventTime:2017-09-25 02:19:34.000000	{"count": 1}
EventTime:2017-09-25 02:19:37.000000	{"count": 1}
EventTime:2017-09-25 02:19:42.000000	{"count": 1}
EventTime:2017-09-25 02:19:59.000000	{"count": 1}
EventTime:2017-09-25 02:20:01.000000	{"count": 1}
EventTime:2017-09-25 02:20:06.000000	{"count": 1}
EventTime:2017-09-25 02:20:07.000000	{"count": 1}
EventTime:2017-09-25 02:20:08.000000	{"count": 1}
EventTime:2017-09-25 02:20:09.000000	{"count": 1}
EventTime:2017-09-25 02:20:15.000000	{"count": 1}
EventTime:2017-09-25 02:20:16.000000	{"count": 1}
EventTime:2017-09-25 02:20:18.000000	{"count": 1}
EventTime:2017-09-25 02:20:31.000000	{"count": 2}
EventTime:2017-09-25 02:20:34.000000	{"count": 1}
EventTime:2017-09-25 02:20:49.000000	{"count": 1}
EventTime:2017-09-25 02:21:48.000000	{"count": 2}
EventTime:2017-09-25 02:47:35.000000	{"count": 2}
EventTime:2017-09-25 03:19:25.000000	{"count": 2}
EventTime:2017-09-25 03:19:34.000000	{"count": 1}
EventTime:2017-09-25 03:19:55.000000	{"count": 2}
EventTime:2017-09-25 03:20:31.000000	{"count": 1}
EventTime:2017-09-25 03:21:34.000000	{"count": 2}
EventTime:2017-09-25 03:21:37.000000	{"count": 1}
EventTime:2017-09-25 03:21:58.000000	{"count": 1}
EventTime:2017-09-25 03:22:27.000000	{"count": 1}
EventTime:2017-09-25 03:22:31.000000	{"count": 1}
EventTime:2017-09-25 03:22:41.000000	{"count": 1}
EventTime:2017-09-25 03:22:43.000000	{"count": 1}
EventTime:2017-09-25 03:28:02.000000	{"count": 2}
EventTime:2017-09-25 04:02:08.000000	{"count": 2}
EventTime:2017-09-25 04:03:12.000000	{"count": 2}
EventTime:2017-09-25 04:03:24.000000	{"count": 1}
EventTime:2017-09-25 04:03:50.000000	{"count": 1}
EventTime:2017-09-25 04:03:51.000000	{"count": 1}
EventTime:2017-09-25 04:03:53.000000	{"count": 1}
EventTime:2017-09-25 04:07:53.000000	{"count": 2}
EventTime:2017-09-25 04:07:57.000000	{"count": 1}
EventTime:2017-09-25 04:08:12.000000	{"count": 1}
EventTime:2017-09-25 04:08:19.000000	{"count": 2}
EventTime:2017-09-25 04:08:21.000000	{"count": 2}
EventTime:2017-09-25 04:08:22.000000	{"count": 1}
EventTime:2017-09-25 04:08:23.000000	{"count": 1}
